"","T_BIOME","WP","MP","PP","NP","Total","EPLI"
"1","Total",121,67,163,112,463,0.475161987041037
"2","Succulent Karoo",13,9,16,26,64,0.380208333333333
"3","Savanna",27,22,28,17,94,0.542553191489362
"4","Nama-Karoo",1,3,5,4,13,0.358974358974359
"5","Indian Ocean Coastal Belt",0,2,2,2,6,0.333333333333333
"6","Grassland",12,3,37,21,73,0.360730593607306
"7","Fynbos",38,14,49,25,126,0.505291005291005
"8","Forests",9,1,0,0,10,0.966666666666667
"9","Desert",7,0,3,5,15,0.533333333333333
"10","Azonal Vegetation",5,2,8,3,18,0.5
"11","Albany Thicket",9,11,15,9,44,0.484848484848485
